altitude,availableBikes,availableDocks,city,id,is_renting,kioskType,landMark,lastCommunicationTime,latitude,location,longitude,postalCode,stAddress1,stAddress2,stationName,status,statusKey,statusValue,testStation,totalDocks
0.0,7,8,Chicago,29,True,True,Chicago,2020-04-19 18:26:55,41.90068,Chicago,-87.6626,60602,Chicago,Chicago,Noble St & Milwaukee Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,7,Chicago,30,True,True,Chicago,2020-04-19 19:40:09,41.899643,Chicago,-87.6677,60602,Chicago,Chicago,Ashland Ave & Augusta Blvd,IN_SERVICE,1,IN_SERVICE,False,15
0.0,15,8,Chicago,31,True,True,Chicago,2020-04-19 18:23:04,41.896746973093805,Chicago,-87.63566762208939,60602,Chicago,Chicago,Franklin St & Chicago Ave,IN_SERVICE,1,IN_SERVICE,False,23
0.0,7,12,Chicago,32,True,True,Chicago,2020-04-19 23:08:29,41.87464,Chicago,-87.65703,60602,Chicago,Chicago,Racine Ave & Congress Pkwy,IN_SERVICE,1,IN_SERVICE,False,19
0.0,12,15,Chicago,33,True,True,Chicago,2020-04-19 20:51:52,41.877181,Chicago,-87.627844,60602,Chicago,Chicago,State St & Van Buren St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,4,11,Chicago,34,True,True,Chicago,2020-04-19 18:05:17,41.9267559875,Chicago,-87.6344287848,60602,Chicago,Chicago,Cannon Dr & Fullerton Ave,IN_SERVICE,1,IN_SERVICE,False,15
0.0,9,38,Chicago,35,True,True,Chicago,2020-04-19 20:16:43,41.892278,Chicago,-87.612043,60602,Chicago,Chicago,Streeter Dr & Grand Ave,IN_SERVICE,1,IN_SERVICE,False,47
0.0,19,20,Chicago,36,True,True,Chicago,2020-04-19 20:14:34,41.8777079559,Chicago,-87.6353211408,60602,Chicago,Chicago,Franklin St & Jackson Blvd,IN_SERVICE,1,IN_SERVICE,False,39
0.0,11,8,Chicago,37,True,True,Chicago,2020-04-19 16:50:03,41.8793563587,Chicago,-87.6297910363,60602,Chicago,Chicago,Dearborn St & Adams St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,14,13,Chicago,38,True,True,Chicago,2020-04-19 21:25:39,41.88602082773,Chicago,-87.6308760584,60602,Chicago,Chicago,Clark St & Lake St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,21,2,Chicago,39,True,True,Chicago,2020-04-19 19:35:52,41.87947235235,Chicago,-87.6256886059,60602,Chicago,Chicago,Wabash Ave & Adams St,IN_SERVICE,1,IN_SERVICE,False,23
0.0,8,7,Chicago,40,True,True,Chicago,2020-04-19 15:13:33,41.87934437346,Chicago,-87.6319852213,60602,Chicago,Chicago,LaSalle St & Adams St,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,11,Chicago,41,True,True,Chicago,2020-04-19 20:30:44,41.87207763285,Chicago,-87.6295437729,60602,Chicago,Chicago,Federal St & Polk St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,2,9,Chicago,42,True,True,Chicago,2020-04-19 19:31:31,41.852619,Chicago,-87.626488,60602,Chicago,Chicago,Wabash Ave & Cermak Rd,IN_SERVICE,1,IN_SERVICE,False,11
0.0,34,9,Chicago,43,True,True,Chicago,2020-04-19 16:00:15,41.8839840647265,Chicago,-87.6246839761734,60602,Chicago,Chicago,Michigan Ave & Washington St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,16,11,Chicago,44,True,True,Chicago,2020-04-19 22:34:22,41.8847302006,Chicago,-87.6277335692,60602,Chicago,Chicago,State St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,27
0.0,5,10,Chicago,45,True,True,Chicago,2020-04-19 16:01:30,41.876243,Chicago,-87.624426,60602,Chicago,Chicago,Michigan Ave & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,15
0.0,8,11,Chicago,46,True,True,Chicago,2020-04-19 17:21:59,41.89993001,Chicago,-87.63443007,60602,Chicago,Chicago,Wells St & Walton St,IN_SERVICE,1,IN_SERVICE,False,19
0.0,23,8,Chicago,47,True,True,Chicago,2020-04-19 20:12:59,41.889187,Chicago,-87.627754,60602,Chicago,Chicago,State St & Kinzie St,IN_SERVICE,1,IN_SERVICE,False,31
0.0,8,35,Chicago,48,True,True,Chicago,2020-04-19 18:24:12,41.897764,Chicago,-87.642884,60602,Chicago,Chicago,Larrabee St & Kingsbury St,IN_SERVICE,1,IN_SERVICE,False,43
0.0,20,19,Chicago,49,True,True,Chicago,2020-04-19 21:56:04,41.881319815,Chicago,-87.6295209193,60602,Chicago,Chicago,Dearborn St & Monroe St,IN_SERVICE,1,IN_SERVICE,False,39
0.0,26,9,Chicago,50,True,True,Chicago,2020-04-19 19:31:33,41.8759326655,Chicago,-87.6305845355,60602,Chicago,Chicago,Clark St & Ida B Wells Dr,IN_SERVICE,1,IN_SERVICE,False,35
0.0,19,20,Chicago,51,True,True,Chicago,2020-04-19 22:58:51,41.884576228,Chicago,-87.63188991,60602,Chicago,Chicago,Clark St & Randolph St,IN_SERVICE,1,IN_SERVICE,False,39
